|"id"|"Completado"|"Última página vista"|"Lenguaje inicial"|"Contraseña"|"Municipio "|"Facultad"|"Programa"|"Semestre"|"Genero"|"[¿Cómo califica Usted la Formación Académica impartida por el Programa al que pertenece?] 
	Marque la opción según corresponda, calificando los siguientes aspectos del Programa al cual usted pertenece, en un rango de 1 a 5 donde:

	5= Excelente  4=Bueno  3= Regular,  2= Malo  1= Muy Malo"|"[¿Considera Usted que los conocimientos  adquiridos  en su programa  académico,  son acordes a las necesidades  y expectativas de la región? ] 
	Marque la opción según corresponda, calificando los siguientes aspectos del Programa al cual usted pertenece, en un rango de 1 a 5 donde:

	5= Excelente  4=Bueno  3= Regular,  2= Malo  1= Muy Malo"|"[¿Cómo califica la programación de los horarios de clase ?] 
	Marque la opción según corresponda, calificando los siguientes aspectos del Programa al cual usted pertenece, en un rango de 1 a 5 donde:

	5= Excelente  4=Bueno  3= Regular,  2= Malo  1= Muy Malo"|"[¿Cómo califica Usted  el material bibliográfico existente en su Programa?] 
	Marque la opción según corresponda, calificando los siguientes aspectos del Programa al cual usted pertenece, en un rango de 1 a 5 donde:

	5= Excelente  4=Bueno  3= Regular,  2= Malo  1= Muy Malo"|"[¿Cómo califica Usted  las ayudas didácticas existentes en su Programa?] 
	Marque la opción según corresponda, calificando los siguientes aspectos del Programa al cual usted pertenece, en un rango de 1 a 5 donde:

	5= Excelente  4=Bueno  3= Regular,  2= Malo  1= Muy Malo"|"[¿Cómo califica Usted la atención del personal administrativo del Programa al que pertenece?] 
	Marque la opción según corresponda, calificando los siguientes aspectos del Programa al cual usted pertenece, en un rango de 1 a 5 donde:

	5= Excelente  4=Bueno  3= Regular,  2= Malo  1= Muy Malo"|"[¿Cómo califica Usted la atención del personal administrativo de la Facultad a la que pertenece?] 
	Marque la opción según corresponda, calificando los siguientes aspectos del Programa al cual usted pertenece, en un rango de 1 a 5 donde:

	5= Excelente  4=Bueno  3= Regular,  2= Malo  1= Muy Malo"|"[¿Cómo califica Usted el cumplimiento de horarios del personal docente en su Programa Académico?] 
	Marque la opción según corresponda, calificando los siguientes aspectos del Programa al cual usted pertenece, en un rango de 1 a 5 donde:

	5= Excelente  4=Bueno  3= Regular,  2= Malo  1= Muy Malo"|"[¿Cómo califica Usted la metodología de enseñanza de los docentes de su Programa?] 
	Marque la opción según corresponda, calificando los siguientes aspectos del Programa al cual usted pertenece, en un rango de 1 a 5 donde:

	5= Excelente  4=Bueno  3= Regular,  2= Malo  1= Muy Malo"|"[¿Cómo califica Usted a los docentes de la Universidad en cuanto a dominio de los cursos?] 
	Marque la opción según corresponda, calificando los siguientes aspectos del Programa al cual usted pertenece, en un rango de 1 a 5 donde:

	5= Excelente  4=Bueno  3= Regular,  2= Malo  1= Muy Malo"|"[¿Cómo califica Usted a los docentes en cuanto a la vocación de servicio?] 
	Marque la opción según corresponda, calificando los siguientes aspectos del Programa al cual usted pertenece, en un rango de 1 a 5 donde:

	5= Excelente  4=Bueno  3= Regular,  2= Malo  1= Muy Malo"|"[¿Cómo califica Usted la gestión de los directivos de la Universidad?] 
	Marque la opción según corresponda, calificando los siguientes aspectos del Programa al cual usted pertenece, en un rango de 1 a 5 donde:

	5= Excelente  4=Bueno  3= Regular,  2= Malo  1= Muy Malo"|"[¿Cómo califica Usted la cantidad actual de computadores en su Facultad?] 
	Marque la opción según corresponda, calificando los siguientes aspectos del Programa al cual usted pertenece, en un rango de 1 a 5 donde:

	5= Excelente  4=Bueno  3= Regular,  2= Malo  1= Muy Malo"|"[¿Cómo califica Usted la infraestructura de las aulas de clase, auditorios, espacios de estudio y su equipamiento?] 
	Marque la opción según corresponda, calificando los siguientes aspectos del Programa al cual usted pertenece, en un rango de 1 a 5 donde:

	5= Excelente  4=Bueno  3= Regular,  2= Malo  1= Muy Malo"|"[¿Cómo califica Usted el estado de aseo y mantenimiento de las aulas de clase, auditorios, espacios de estudio y baños de su Facultad?] 
	Marque la opción según corresponda, calificando los siguientes aspectos del Programa al cual usted pertenece, en un rango de 1 a 5 donde:

	5= Excelente  4=Bueno  3= Regular,  2= Malo  1= Muy Malo"|"¿Cómo califica Usted  las prácticas académicas desarrolladas en su Programa?
(si califica menor de 3 explicar por qué)"|"Justifique la respuesta anterior"|"¿De la Formación Académica ofrecida por su Programa que le gustaría que se mejore prioritariamente?"|"
"
11|40|"2015-10-06 21:38:50"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Zootecnia"|10|"Femenino"|"3=Regular"|"3=Regular"|"3=Regular"|"4=Bueno"|"4=Bueno"|"3=Regular"|"3=Regular"|"4=Bueno"|"3=Regular"|"4=Bueno"|"4=Bueno"|"2=Malo"|"3=Regular"|"4=Bueno"|"4=Bueno"|"4=Bueno"||"realizar las clases de una manera pedagógica, acorde a la situación actual del campo de trabajo, enfocándose hacia lo realmente importante y que se requiere en la vida laboral."|
12|43|"2015-10-06 23:01:01"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Zootecnia"|10|"Masculino"|"3=Regular"|"3=Regular"|"3=Regular"|"3=Regular"|"4=Bueno"|"2=Malo"|"2=Malo"|"4=Bueno"|"2=Malo"|"3=Regular"|"2=Malo"|"2=Malo"|"2=Malo"|"2=Malo"|"3=Regular"|"3=Regular"|"las practicas académicas se enfocan en el sistema extensionista sin tener en cuenta las características de la región y es hay en donde los profesionales van a desarrollar sus conocimientos. "|"el sistema formativo impartido en el área de nutrición, pues no es acorde con la realidad actual y se enfrascan en sus posiciones mas no en el querer saber de los estudiantes."|
13|44|"2015-10-06 23:18:44"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Zootecnia"|4|"Masculino"|"3=Regular"|"3=Regular"|"4=Bueno"|"1=Muy Malo"|"4=Bueno"|"3=Regular"|"3=Regular"|"2=Malo"|"3=Regular"|"4=Bueno"|"3=Regular"|"1=Muy Malo"|"1=Muy Malo"|"2=Malo"|"5=Excelente"|"2=Malo"|"resulta negativo que para las respectivas practicas no se estudie una guía previa de los procedimientos a realizar, son muy pocas las practicas que se realizan en semestres inferiores."|"me gustaria que los directivos gestionen mas actividades como seminarios de formacion ya que mediante estos los estudiantes  se actualizan de las nuevas tecnologias y conocimientos cientificos; que se promueva y apoye la creacion de nuevos grupos de estudio e investigacion y que incluyan a mas estudiantes de semestres inferiores; que se facilite la realizacion de cursos especiales; me parece importante que el 100% de las asignaturas incluyan el componente practico ya sea mediante laboratorio o praticas de campo."|
14|45|"2015-10-07 07:36:52"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Zootecnia"|8|"Femenino"|"3=Regular"|"4=Bueno"|"4=Bueno"|"3=Regular"|"4=Bueno"|"3=Regular"|"2=Malo"|"5=Excelente"|"4=Bueno"|"3=Regular"|"5=Excelente"|"3=Regular"|"1=Muy Malo"|"3=Regular"|"5=Excelente"|"3=Regular"||"Una mejor  preparación de los profesores en cuanto al conocimiento de una signatura, por otro lado seria muy bueno que se hagan practicas de manejo y salidas al campo. Es decir aprender manejo de animales por que en cuanto a conocimientos teóricos estamos bien, pero para salir al campo a trabajar no tenemos las bases suficientes. "|
15|47|"2015-10-07 13:34:08"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Zootecnia"|6|"Femenino"|"4=Bueno"|"4=Bueno"|"3=Regular"|"3=Regular"|"3=Regular"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"3=Regular"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"3=Regular"|"3=Regular"|"4=Bueno"|"4=Bueno"||"participación a los estudiantes de todo el plan de estudios, cosas positivas y negativas, opciones que brinda el programa en cuanto a dificultades presentadas durante muchos años."|
16|60|"2015-10-09 19:18:30"|1|"es"||"Pasto "|"Facultad de Ciencias Exactas y Naturales"|"Física"|10|"Masculino"|"4=Bueno"|"4=Bueno"|"1=Muy Malo"|"3=Regular"|"2=Malo"|"3=Regular"|"4=Bueno"|"3=Regular"|"1=Muy Malo"|"2=Malo"|"1=Muy Malo"|"3=Regular"|"1=Muy Malo"|"3=Regular"|"3=Regular"|"1=Muy Malo"|"El apoyo es selectivo y eso cuando lo hay adicional se ponen muchas trabas "|"La forma como enseñan la mayoría de docentes por que prácticamente los estudiantes aprendemos de los libros y solo algunos profesores resuelven dudas  y explican, los demás se limitan a  transcribir lo del libro.  "|
17|64|"2015-10-09 21:06:51"|1|"es"||"Pasto "|"Facultad de Ciencias Exactas y Naturales"|"Física"|7|"Masculino"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"3=Regular"|"3=Regular"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"2=Malo"|"3=Regular"|"3=Regular"|"4=Bueno"|"2=Malo"|"porque no se realizan con frecuencia y la cantidad de dineros destinadas a estos se queda corto ante las demandas existentes"|"capacitacion a algunos docentes y cursos vinculados a mejoramiento en la enseñanza y objetivo educativo"|
18|65|"2015-10-09 21:28:33"|1|"es"||"Pasto "|"Facultad de Ciencias Exactas y Naturales"|"Física"|9|"Masculino"|"3=Regular"|"2=Malo"|"2=Malo"|"3=Regular"|"3=Regular"|"4=Bueno"|"4=Bueno"|"3=Regular"|"1=Muy Malo"|"2=Malo"|"1=Muy Malo"|"4=Bueno"|"1=Muy Malo"|"2=Malo"|"4=Bueno"|"3=Regular"||"son pocos los docentes que manejan bien la tematica de los cursos, deberian traer mas docentes bien preparados. con todo respeto hay unos docentes que no estan para enseñar ya sea por una edad avanzada, por continuos problemas de salud o simplemente porque no tienen vocacion.
Ademas el pensum  del programa actualmente es muy desorganizado
"|
19|66|"2015-10-10 14:23:45"|1|"es"||"Pasto "|"Facultad de Ciencias Exactas y Naturales"|"Física"|9|"Masculino"|"3=Regular"|"3=Regular"|"1=Muy Malo"|"2=Malo"|"1=Muy Malo"|"4=Bueno"|"1=Muy Malo"|"4=Bueno"|"2=Malo"|"4=Bueno"|"2=Malo"|"1=Muy Malo"|"1=Muy Malo"|"1=Muy Malo"|"2=Malo"|"1=Muy Malo"|"No existen practicas académicas o son muy escasas y no están disponibles para todos los estudiantes"|"Una mayor bibliografia como tambien mejores equipos de computo, mejorar la infraestructura tan precaria del dpto. de fisica (Estamos en un bloque que se puede destruir con un sismo fuerte), mejora en los equipos de laboratorio (Aun usamos equipos desde la creación de mas de 100 años de antigüedad), capacitación a los docentes en calidad de docencia."|
20|68|"2015-10-12 20:56:16"|1|"es"||"Pasto "|"Facultad de Ciencias Exactas y Naturales"|"Física"|9|"Masculino"|"4=Bueno"|"3=Regular"|"5=Excelente"|"3=Regular"|"4=Bueno"|"3=Regular"|"4=Bueno"|"5=Excelente"|"3=Regular"|"5=Excelente"|"4=Bueno"|"3=Regular"|"3=Regular"|"3=Regular"|"3=Regular"|"4=Bueno"||"Se debe mejorar y adquirir equipos de laboratorio."|
21|71|"2015-10-13 16:55:38"|1|"es"||"Pasto "|"Facultad de Ciencias Exactas y Naturales"|"Física"|9|"Masculino"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"3=Regular"|"3=Regular"|"4=Bueno"|"3=Regular"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"3=Regular"|"3=Regular"|"3=Regular"|"3=Regular"|"4=Bueno"|"2=Malo"|"por que en realidad en el programa son muy pocas las practicas durante toda la carrera, no hay el suficiente apoyo económico por parte de la universidad con nuestro programa."|"prioritariamente mejoramiento en la enseñanza del manejo de programación en c y c++"|
22|73|"2015-10-13 22:01:32"|1|"es"||"Pasto "|"Facultad de Ciencias Exactas y Naturales"|"Física"|7|"Masculino"|"4=Bueno"|"2=Malo"|"3=Regular"|"3=Regular"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"3=Regular"|"3=Regular"|"3=Regular"|"3=Regular"|"2=Malo"|"3=Regular"|"4=Bueno"|"3=Regular"|"El presupuesto con el que cuenta el programa es minimo para el costo de los congresos a los que una buena cantidad de estudiantes se asiste, es un inconveniente a solucionar."|"Lo mas importante y urgente que necesita el programa es la pedagogia en todos los docentes"|
23|74|"2015-10-14 09:46:20"|1|"es"||"Pasto "|"Facultad de Ciencias Exactas y Naturales"|"Física"|12|"Femenino"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"3=Regular"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"3=Regular"|"4=Bueno"|"4=Bueno"|"3=Regular"|"3=Regular"|"1=Muy Malo"|"3=Regular"|"4=Bueno"||"Mas salidas a practicas académicas a otras universidades, a congresos mas apoyo en la parte de presupuesto por parte de la universidad al programa."|
24|77|"2015-10-14 16:17:50"|1|"es"||"Pasto "|"Facultad de Ciencias Exactas y Naturales"|"Física"|3|"Masculino"|"3=Regular"|"4=Bueno"|"5=Excelente"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"2=Malo"|"no hay practicas"|"los laboratorios"|
25|78|"2015-10-14 16:27:35"|1|"es"||"Pasto "|"Facultad de Ciencias Exactas y Naturales"|"Física"|3|"Masculino"|"4=Bueno"|"4=Bueno"|"5=Excelente"|"3=Regular"|"2=Malo"|"5=Excelente"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"5=Excelente"|"4=Bueno"|"3=Regular"|"3=Regular"|"2=Malo"|"5=Excelente"|"4=Bueno"||"hacer actividades para la integracion del programa en la parte humana."|
26|79|"2015-10-14 16:27:22"|1|"es"||"Pasto "|"Facultad de Ciencias Exactas y Naturales"|"Física"|3|"Femenino"|"4=Bueno"|"4=Bueno"|"5=Excelente"|"4=Bueno"|"3=Regular"|"5=Excelente"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"5=Excelente"|"4=Bueno"|"4=Bueno"|"3=Regular"|"4=Bueno"|"4=Bueno"||"que se den mas niveles de ingles"|
27|83|"2015-10-14 16:35:26"|1|"es"||"Pasto "|"Facultad de Ciencias Exactas y Naturales"|"Física"|3|"Femenino"|"4=Bueno"|"2=Malo"|"4=Bueno"|"4=Bueno"|"3=Regular"|"5=Excelente"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"3=Regular"|"4=Bueno"|"3=Regular"|"2=Malo"|"4=Bueno"|"4=Bueno"||"Que hayan mas niveles de ingles "|
28|85|"2015-10-14 16:33:50"|1|"es"||"Pasto "|"Facultad de Ciencias Exactas y Naturales"|"Física"|5|"Masculino"|"3=Regular"|"3=Regular"|"4=Bueno"|"NS/NR"|"NS/NR"|"NS/NR"|"NS/NR"|"NS/NR"|"NS/NR"|"NS/NR"|"NS/NR"|"NS/NR"|"NS/NR"|"NS/NR"|"NS/NR"|"NS/NR"||"los grupos de investigación."|
29|87|"2015-10-14 16:37:20"|1|"es"||"Pasto "|"Facultad de Ciencias Exactas y Naturales"|"Física"|3|"Masculino"|"4=Bueno"|"4=Bueno"|"3=Regular"|"4=Bueno"|"5=Excelente"|"4=Bueno"|"4=Bueno"|"5=Excelente"|"4=Bueno"|"3=Regular"|"5=Excelente"|"4=Bueno"|"4=Bueno"|"3=Regular"|"4=Bueno"|"3=Regular"||"la creacion de semilleros de investigacion para estudiantes de semestres inferiores"|
30|88|"2015-10-14 16:37:57"|1|"es"||"Pasto "|"Facultad de Ciencias Exactas y Naturales"|"Física"|3|"Femenino"|"5=Excelente"|"5=Excelente"|"4=Bueno"|"5=Excelente"|"5=Excelente"|"5=Excelente"|"5=Excelente"|"5=Excelente"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"5=Excelente"|"5=Excelente"|"4=Bueno"|"4=Bueno"|"4=Bueno"||"que se tengan la opcion de practicas y no solo se pueda graduar con tesis"|
31|92|"2015-10-16 00:34:52"|1|"es"||"Pasto "|"Facultad de Ciencias Exactas y Naturales"|"Física"|5|"Femenino"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"5=Excelente"|"4=Bueno"|"4=Bueno"|"3=Regular"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"||"La formación en el área de la investigación "|
